Date,User,Message
2023-03-22 00:06:22,"Yeon","이거에"
2023-03-22 00:06:22,"유지수","진짜 개저씨다됨 .."
2023-03-22 00:06:23,"뿌까","성수면 "
2023-03-22 00:06:26,"유지수","ㅇㅇ 나 금욜이 젤좋아"
2023-03-22 00:06:28,"원상이","금요일"
2023-03-22 00:06:28,"뿌까","지수 집도"
2023-03-22 00:06:29,"원상이","ㄱㅊ"
2023-03-22 00:06:30,"뿌까","가까울탠대"
2023-03-22 00:06:34,"뿌까","아근ㄷ"
2023-03-22 00:06:36,"유지수","난 금요일이제일좋음"
2023-03-22 00:06:39,"뿌까","퇴근하고 성수 다들 오면"
2023-03-22 00:06:39,"원상이","아 근데"
2023-03-22 00:06:39,"Yeon","샵검색: #택배 조끼"
2023-03-22 00:06:41,"뿌까","8시겟다"
2023-03-22 00:06:42,"유지수","토요일은 좀 고민해봐야함 씻어야돼서"
2023-03-22 00:06:43,"원상이","가면 7시 반일듯"
2023-03-22 00:06:45,"뿌까","십오바임"
2023-03-22 00:06:56,"유지수","8시에만나 어차피 금욜인뎅"
2023-03-22 00:07:02,"뿌까","머 감자탕만 먹고 빠빠하면 갠츄"
2023-03-22 00:07:07,"뿌까","뿌까는 통금이 잇음"
2023-03-22 00:07:08,"원상이","ㅇㅇ"
2023-03-22 00:07:09,"유지수","ㅇㅇ 뿌까 버리고"
2023-03-22 00:07:10,"Yeon","어머어머"
2023-03-22 00:07:11,"유지수","우리끼리놀자"
2023-03-22 00:07:11,"Yeon","새로운"
2023-03-22 00:07:14,"Yeon","역사가 "
2023-03-22 00:07:15,"원상이","그래"
2023-03-22 00:07:17,"Yeon","시작되는거야?"
2023-03-22 00:07:18,"뿌까","? "
2023-03-22 00:07:25,"뿌까","이모티콘"
2023-03-22 00:07:31,"뿌까","성수 감자탕"
2023-03-22 00:07:34,"뿌까","또 먹고싶어.. "
2023-03-22 00:07:39,"뿌까","이모티콘"
2023-03-22 00:07:41,"원상이","글케 맛잇음?"
2023-03-22 00:07:43,"뿌까","ㅇㅇ"
2023-03-22 00:07:49,"원상이","ㄷㄷㄷㄷㄷ"
2023-03-22 00:07:50,"Yeon","근대"
2023-03-22 00:07:51,"뿌까","아 나 이번 주 토요일 동아리
회식잇는데"
2023-03-22 00:07:53,"뿌까","째고 싶다"
2023-03-22 00:07:56,"Yeon","거기선이상한춤"
2023-03-22 00:07:57,"Yeon","못춤"
2023-03-22 00:07:59,"Yeon","동네임"
2023-03-22 00:08:00,"Yeon","이모티콘"
2023-03-22 00:08:06,"뿌까","내가 춰야지"
2023-03-22 00:08:09,"뿌까","하이그레 댄스"
2023-03-22 00:08:11,"뿌까","경연게이"
2023-03-22 00:08:13,"뿌까","이름 부르면서"
2023-03-22 00:08:24,"원상이","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2023-03-22 00:08:28,"Yeon","헉"
2023-03-22 00:08:32,"유지수","그럼 미사에서 마시는건 어떼? ㅎㅎ 미사에 술집 되게많아 ㅎㅎ"
2023-03-22 00:08:32,"Yeon","하이그레정도면"
2023-03-22 00:08:34,"Yeon","같이"
2023-03-22 00:08:40,"Yeon","이모티콘"
2023-03-22 00:08:46,"뿌까","4월 14어때"
2023-03-22 00:08:50,"뿌까","4.7 이나"
2023-03-22 00:08:58,"뿌까","넘 자주 만나면 안돼 애들아"
2023-03-22 00:08:59,"원상이","다담주인가"
2023-03-22 00:08:59,"유지수","뿌까 그때 만나고"
2023-03-22 00:09:05,"유지수","원상이는 이번주에 같이 감자탕먹자"
2023-03-22 00:09:08,"뿌까","ㅠ"
2023-03-22 00:09:11,"원상이","ㅇㅋ"
2023-03-22 00:09:12,"뿌까","이모티콘"
2023-03-22 00:09:17,"뿌까","뼈라두 싸줘"
2023-03-22 00:09:22,"뿌까","핥게"
2023-03-22 00:09:28,"원상이","뼈만 남겨서"
2023-03-22 00:09:29,"유지수","비닐봉다리 들고가야겟다"
2023-03-22 00:09:29,"원상이","챙겨갈게"
2023-03-22 00:09:33,"뿌까","이모티콘"
2023-03-22 00:09:34,"Yeon","이제 졸업인데"
2023-03-22 00:09:36,"Yeon","동아리 제껴"
2023-03-22 00:09:41,"뿌까","글킨한데"
2023-03-22 00:09:42,"원상이","맞아"
2023-03-22 00:09:45,"뿌까","내 유일한"
2023-03-22 00:09:46,"원상이","뭔 동아리여"
2023-03-22 00:09:48,"뿌까","대학교인먁임.. "
2023-03-22 00:09:52,"뿌까","나가야해.. "
2023-03-22 00:09:58,"뿌까","나가서 얼굴 비춰야해.. "
2023-03-22 00:10:08,"원상이","아 나쁜"
2023-03-22 00:10:13,"원상이","말 할라는거"
2023-03-22 00:10:14,"원상이","참음"
